Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-21,181.08496152111414,182.03049388623003,179.81097819372195,181.4631805419922,41529700,0.0,0.0
2024-02-22,182.61769287128237,184.09074823448796,181.60249751065342,183.50350952148438,52292200,0.0,0.0
2024-02-23,184.1405042298665,184.17036202409395,181.37357059288817,181.66221618652344,45119700,0.0,0.0
2024-02-26,181.38353517321784,181.90108040317875,179.8009961275691,180.30860900878906,40867400,0.0,0.0
2024-02-27,180.24890489042258,183.05564406470424,178.71613380047907,181.77171325683594,54318900,0.0,0.0
2024-02-28,181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0
2024-02-29,180.41811896420185,181.7120126019674,178.68629069330834,179.9005584716797,136682600,0.0,0.0
2024-03-01,178.70617492699984,179.68156498512658,176.54637506189474,178.81565856933594,73488000,0.0,0.0
2024-03-04,175.3221528407019,176.0686281128373,172.9732433768994,174.277099609375,81510100,0.0,0.0
2024-03-05,169.95748724050745,171.2314705105848,168.82284541599856,169.32049560546875,95132400,0.0,0.0
2024-03-06,170.25608047856306,170.43524244414468,167.88726071561,168.3251953125,68587700,0.0,0.0
2024-03-07,168.35503848083317,169.92761476617306,167.6981518296525,168.20574951171875,71765100,0.0,0.0
2024-03-08,168.20576217934803,172.8836708711805,168.14604658720506,169.92762756347656,76114600,0.0,0.0
2024-03-11,172.12723509594798,173.56046994775534,171.24141844268888,171.93812561035156,60139500,0.0,0.0
2024-03-12,172.33625244410158,173.21212162678884,170.20631026653984,172.41587829589844,59825400,0.0,0.0
2024-03-13,171.9580519129805,172.37607625258147,169.95748841772314,170.3257598876953,52488700,0.0,0.0
2024-03-14,172.0973773021251,173.49079163745046,171.24141844268888,172.18695068359375,72913500,0.0,0.0
2024-03-15,170.3655638276482,171.80874633789062,169.48969463541124,171.80874633789062,121664700,0.0,0.0
2024-03-18,174.7448914522954,176.87483361469177,172.70452267737835,172.90357971191406,75604200,0.0,0.0
2024-03-19,173.52067421691896,175.78001045706262,172.21683307682196,175.25250244140625,55215200,0.0,0.0
2024-03-20,174.89417408943874,177.83030700683594,174.2671300256647,177.83030700683594,53423100,0.0,0.0
2024-03-21,176.2179350177799,176.65586961417029,170.03711298613993,170.5646209716797,106181300,0.0,0.0
2024-03-22,170.95277649830084,172.23672240837217,169.26076900158964,171.4703369140625,71106600,0.0,0.0
2024-03-25,169.76840571092222,171.1319624728949,168.65365887534398,170.04708862304688,54288300,0.0,0.0
2024-03-26,169.20104494513856,170.61436949811346,168.78302065654685,168.91241455078125,57388400,0.0,0.0
2024-03-27,169.609133760084,172.78414425918754,169.31054062211945,172.49549865722656,60273300,0.0,0.0
2024-03-28,170.94283813483634,171.4205780589011,169.70866021166748,170.67410278320312,65672700,0.0,0.0
2024-04-01,170.38546326457012,170.4451788535061,168.68349304450714,169.2309112548828,46240500,0.0,0.0
2024-04-02,168.28538634231538,168.54415896803064,167.43937496323824,168.0465087890625,49329500,0.0,0.0
2024-04-03,167.9967479570679,169.87786510696628,167.78774337767854,168.8527069091797,47691700,0.0,0.0
2024-04-04,169.48968886138192,171.11203328162168,168.026611328125,168.026611328125,53704400,0.0,0.0
2024-04-05,168.79298281447828,169.5892261323792,168.15599119757314,168.7830352783203,42055200,0.0,0.0
